datetime,headline,sentiment_score
2025-05-21 18:05:40+00:00,Bitcoin Hits $109.4K Record High,0.0
2025-05-21 18:05:41+00:00,"Bitcoin Breaks New All-Time Highs As BTC Ownership in the US Surpasses Gold, Becomes ‘America’s Emerging Reserve Asset’",0.0
2025-05-21 18:05:56+00:00,Scarlett Johansson centres Cannes directorial debut on forgiveness,0.2732
2025-05-21 18:06:03+00:00,Southwest requiring flyers to use portable chargers in plain sight,0.0
2025-05-21 18:06:10+00:00,7 Stocks Warren Buffett is Actually Buying in 2025,0.0
2025-05-21 18:06:11+00:00,Bitcoin Suisse Announces In-Principle Approval from ADGM’s Financial Services Regulatory Authority,0.7783
2025-05-21 18:06:12+00:00,"In a video and letter signed “Sam & Jony”, Altman and Ive announce io, founded last year by Ive, Scott Cannon, Evans Hankey, and Tang Tan to create new products",0.2732
2025-05-21 18:06:12+00:00,Malaysia’s Anwar Says US Trade Talks Unaffected by China Ties,0.0
2025-05-21 18:06:21+00:00,Asset-Backed Crypto Token Wasn’t,0.0
2025-05-21 18:06:22+00:00,"Sources: OpenAI owned a 23% stake in io from a 2024 deal so is now paying ~$5B to fully acquire it; separately, OpenAI's Start-up Fund invested in io last year",0.0
2025-05-21 18:06:22+00:00,"Microsoft Touts Sales in Competition With Snowflake, Databricks",-0.0258
2025-05-21 18:06:22+00:00,Rubio Signals Labeling Putin War Criminal Would Hurt Peace Talks,-0.802
2025-05-21 18:06:33+00:00,"Stock Market News Today: Markets mixed, bonds selloff (SP500:S&P Complete Indices)",-0.7096
2025-05-21 18:13:25+00:00,Ways to reduce financial stress during uncertain times,-0.5859
2025-05-21 18:17:03+00:00,Here's what's dragging down the Dow as it heads for its worst day in a month,-0.6249
2025-05-21 18:17:06+00:00,Charlotte Taps Munis for $307 Million to Revamp Booming Airport,0.0
2025-05-21 18:17:06+00:00,"TD Folds US Muni, High-Grade Voice Teams Into Automated Trading",0.0
2025-05-21 18:17:09+00:00,US says there are significant undiscovered oil and gas resources in Wyoming,0.2023
2025-05-21 18:17:11+00:00,"Stocks to Watch Wednesday: Alphabet, UnitedHealth, Lowe’s, Medtronic",0.0
2025-05-21 18:17:13+00:00,TD Tumbles in Canadian Bond Rankings After Key Bankers Leave,-0.0516
2025-05-21 18:17:21+00:00,Warren Buffett Dumped This Fintech Stock. Should You?,-0.4019
2025-05-21 18:17:23+00:00,Azul Debt Talks Accelerate Toward Financing Through Chapter 11,-0.3612
2025-05-21 18:17:27+00:00,"The Daily: Bitcoin hits new all-time high, American tourist claims fake Uber driver stole BTC and XRP using ‘Devil’s Breath,’ and more",-0.4767
2025-05-21 18:17:50+00:00,"Is Bitcoin heading for $160,000? Analyst who predicted the 2021 crypto market collapse cites these reasons",-0.7717
2025-05-21 18:19:29+00:00,Investors Bet Millions on Bitcoin Price Following Record High,0.0
2025-05-21 18:21:49+00:00,KAITO price prediction after Kaito Pro Mobile Beta update,0.7964
2025-05-21 18:22:19+00:00,"Big Banks Eye Crypto, But Can Smaller Lenders Win Retail Wallet?",0.7351
2025-05-21 18:23:43+00:00,"Tax Cuts, $1,000 MAGA Account Credits In, EV Credits Out: What the House’s ‘Big Beautiful Bill’ Means for Your Wallet",0.7717
2025-05-21 18:25:00+00:00,Sophon Unveils zkTLS-Based Social Oracle to Integrate Private Web2 Data Onchain,0.1779
2025-05-21 18:26:49+00:00,"Bitcoin hits record as stocks, bonds retreat amid market uncertainty",0.2023
2025-05-21 18:28:14+00:00,Canadian dollar hits nearly 2-week high on reduced rate cut bets,-0.2732
2025-05-21 18:28:18+00:00,DOJ Probe Into Cuomo Sparks Election Interference Concerns,0.0
2025-05-21 18:28:18+00:00,"20-Year Treasury Auction Goes Badly, Yields Spike as Bonds Sell Off",-0.3182
2025-05-21 18:28:29+00:00,Dow heads for worst day in a month. Here's what's dragging it down,-0.6249
2025-05-21 18:30:01+00:00,"Microsoft: Over 394,000 Windows PCs infected by Lumma malware, affects Chrome, Edge, Firefox",-0.7506
2025-05-21 18:30:04+00:00,"US stocks drop as Trump’s ‘big, beautiful’ tax bill faces rare overnight hearing",-0.0772
2025-05-21 18:30:31+00:00,"Microsoft Says Nearly 400,000 Windows Computers Infected By Lumma Malware",-0.2732
2025-05-21 18:34:21+00:00,CoreWeave Stock Jumps After $2 Billion Debt Deal Sees Strong Demand,0.0772
2025-05-21 18:34:55+00:00,"Hacking The Music Industry With Tech, Independence And A DIY Ethos",0.749
2025-05-21 18:38:21+00:00,All That Glitters,-0.4019
2025-05-21 18:38:58+00:00,"A salmonella outbreak sickens dozens, prompting a cucumber recall. Here's what to do",-0.4588
2025-05-21 18:39:12+00:00,Disney Suspends Venezuelan Workers on Supreme Court Ruling,0.5574
2025-05-21 18:39:22+00:00,George Soros Bought This Crypto Penny Stock in Q1. Should You?,0.0
2025-05-21 18:41:27+00:00,"Bitcoin rises to record $109,730 on optimism over US regulation",0.7906
2025-05-21 18:42:58+00:00,"Ripple Acquiring Circle Would Lead To ‘Crypto Apocalypse,’ Warns Legal Expert",0.1298
2025-05-21 18:43:47+00:00,Why We Should Welcome Stock Market 'Bubbles',0.4588
2025-05-21 18:44:14+00:00,America’s Debt Is Officially Tarnished. What to Do,-0.3612
2025-05-21 18:44:39+00:00,Platinum Prices Are Rising. Why the Rally Could Just Be Getting Started,0.0
2025-05-21 18:44:48+00:00,"The U.S., Trump Accept Qatari Gift to Use As Air Force One. Boeing Stock Is Falling",0.5994
2025-05-21 18:44:58+00:00,"LPL Financial Is ‘On Track’ To Meet Commonwealth Retention Goals, Executive Says",0.0
2025-05-21 18:50:21+00:00,Japan's IHI to launch microsatellites with Finland's Iceye,0.0
2025-05-21 18:50:22+00:00,Move Over Mag 7: Billionaire Stanley Druckenmiller Is Buying These 2 Tech Stocks Instead,0.0
2025-05-21 18:50:25+00:00,Global Bond Selloff Worsens as Investors Insist on Bigger Payouts,-0.4767
2025-05-21 18:51:11+00:00,"Coinbase under fire for massive data breach affecting nearly 69,461 users",-0.765
2025-05-21 18:53:26+00:00,Did you get a call from a government official? It might be an AI scam.,-0.5719
2025-05-21 18:53:36+00:00,19-Year-Old to Plead Guilty to Hacking Charges After Data Breach of Millions of Schoolchildren,-0.5994
2025-05-21 18:54:11+00:00,Trump calls his own foreign aid cuts at USAID 'devastating',-0.7579
2025-05-21 18:56:00+00:00,XRP News: 7 Days Left: Secure Your $XDX Tokens Before XenDex Presale Ends and Listings Begin,0.4939
2025-05-21 18:57:38+00:00,The Protocol: Solana To Get Major Design Overhaul,0.0
2025-05-21 18:57:47+00:00,"Price predictions 5/21: BTC, ETH, XRP, BNB, SOL, DOGE, ADA, SUI, LINK, AVAX",0.9209
2025-05-21 18:59:56+00:00,"FBI, Microsoft, international cops bust Lumma infostealer service",-0.7003
2025-05-21 19:00:00+00:00,Bitcoin Goes Mainstream as JPMorgan Reverses Stance,0.0
2025-05-21 19:00:00+00:00,Frogger Token Positioned to Lead the Next Memecoin Run!,0.8513
2025-05-21 19:00:14+00:00,Litecoin Eyes $117.50 As Price Rebounds From Key Support – Analyst,0.6597
2025-05-21 19:01:23+00:00,What is the Golden Dome missile defense shield?,0.128
2025-05-21 19:01:37+00:00,"Texas Bitcoin bill passes and will likely be signed by Gov. Abbott, says advocate",0.0
2025-05-21 19:01:42+00:00,Crypto Billionaire Justin Sun Says He's Headed to Trump Dinner as Top Meme Coin Holder,0.2023
2025-05-21 19:01:48+00:00,Arnault Urges EU to Hold Constructive Talks With US on Tariffs,0.0
2025-05-21 19:01:52+00:00,Bitcoin Backs Off Quickly From Record High as Interest Rate Surge Hits Risk Assets,-0.5267
2025-05-21 19:07:23+00:00,Bitcoin touches record high on optimism around U.S. regulations,0.8402
2025-05-21 19:12:00+00:00,KGN Cloud Launches Intelligent Cloud Mining Platform AI Reshapes Crypto Landscape,0.7579
2025-05-21 19:12:30+00:00,Asset Entities Stock Has Skyrocketed Over The Last Month: What's Going On?,0.9042
2025-05-21 19:12:30+00:00,"Levi’s, Coach, and Adidas Are Up to 70% Off During Amazon’s Memorial Day Sale",0.0
2025-05-21 19:12:31+00:00,Credit Score Stocks Slide as FHFA Head Questions Pricing,0.3818
2025-05-21 19:12:37+00:00,"Bitcoin Makes New All-Time High, Ethereum, XRP, Dogecoin Follow Higher",0.9246
2025-05-21 19:12:37+00:00,"Sen. Wyden says AT&T, Verizon, and T-Mobile failed to create systems for notifying about surveillance on Senate-issued devices, despite a requirement to do so",-0.296
2025-05-21 19:12:51+00:00,"US business equipment borrowings decline in April, ELFA says",0.0
2025-05-21 19:12:59+00:00,Why China’s Fighter Jets Should Worry the US and Taiwan,-0.3182
2025-05-21 19:13:55+00:00,Bitcoin Miners Sold Record Amount of BTC Ahead of May's Price Surge,0.0
2025-05-21 19:18:00+00:00,XRP Futures Offer New Tools for Navigating Crypto Volatility,0.8074
2025-05-21 19:18:03+00:00,"Bitcoin slips after touching new all-time high, as rising yields pressure risk assets",0.0935
2025-05-21 19:20:14+00:00,WATCH: Influencer goes viral for celebrity fashion takes,0.0
2025-05-21 19:23:42+00:00,"Big Banks Eye Crypto, But Can Smaller Lenders Win Retail Wallet?",0.7351
2025-05-21 19:23:45+00:00,HPS Leads Over $3 Billion of Private Debt for Consumer Cellular,-0.3612
2025-05-21 19:23:47+00:00,CoreWeave Surges Past Analyst Targets as Citi Doubles Theirs,0.0
2025-05-21 19:23:52+00:00,ECB’s Escriva Says Unexpectedly Strong Euro Is Weighing on Inflation,0.5106
2025-05-21 19:23:56+00:00,Brazil’s Invepar Hires Adviser for Debt Restructuring,-0.3612
2025-05-21 19:24:22+00:00,Perpetrator of Powerschool student hack to plead guilty,-0.9201
2025-05-21 19:27:27+00:00,Nordstrom Stock Just Delisted. Macy’s and Dillard’s Are the Department Stores Left Standing,0.0
2025-05-21 19:30:01+00:00,SEC Stalls Spot XRP And Dogecoin ETFs—No Fast-Track For Crypto Yet,0.296
2025-05-21 19:34:35+00:00,"Bitcoin price nears all-time high: Analyst says BTC could surge to $118,000 soon",0.5994
2025-05-21 19:34:48+00:00,Morocco Aims to Double Electricity Capacity by 2030 World Cup,0.0
2025-05-21 19:34:53+00:00,"Trade war far from over as retaliation looms if US talks fail, JPMorgan warns",-0.8555
2025-05-21 19:34:54+00:00,"After Warren Buffett Sold Capital One Stock, Should You Ditch COF Too?",0.0
2025-05-21 19:34:56+00:00,The Bond Market Is Getting Awfully ‘Yippy’ Again,0.0
2025-05-21 19:34:57+00:00,Former Apple Design Guru Jony Ive to Take Expansive Role at OpenAI,0.0
2025-05-21 19:34:58+00:00,UniCredit Gets 30-Day Suspension by Regulator on Banco BPM Bid,0.0
2025-05-21 19:35:02+00:00,Risks Mount for US Financial Assets as Treasuries Teeter,0.128
2025-05-21 19:35:04+00:00,Argentina’s Economy Grew Less Than Expected in March,0.0
2025-05-21 19:35:04+00:00,Riot Platforms Stock Reverses Gains As Market Turns Cautious Despite Bitcoin Surge,-0.9189
